mois,us_tr_usd,us_ipc,jp_prix_jpy,usd_par_eur,jpy_par_usd,cash_usd_pct,cash_eur_pct,cash_jpy_pct,us_tr_eur,jp_prix_eur
2005-05,122375.12253091829,194.4,63.882789485610694,1.2697,106.5952,2.84,2.12563636363636,0.08,96381.13139396573,0.47200337420338
2005-06,125045.7732222767,194.5,65.62434851574892,1.2155,108.7473,2.97,2.11104545454545,0.09,102875.996069335,0.4964683402629554
2005-07,127307.89953774646,195.4,67.4121912531158,1.2041,111.9535,3.22,2.1194285714285694,0.09,105728.67663628142,0.500078533576217
2005-08,127704.1396115657,196.4,70.32404260140494,1.2295,110.6065,3.44,2.13247826086957,0.09,103866.72599558007,0.5171239420613135
2005-09,128062.88059202545,198.8,76.8995014729209,1.2234,111.239,3.42,2.13913636363636,0.09,104677.84910252203,0.5650644328553477
2005-10,124704.40564175656,199.2,77.08191706322229,1.2022,114.8695,3.71,2.19661904761905,0.09,103730.16606368039,0.5581758634947233
2005-11,129646.8030735954,197.6,84.251926127351,1.1789,118.454,3.88,2.36086363636364,0.09,109972.68900975095,0.6033275259965882
2005-12,132428.78316007648,196.8,91.27254702016768,1.1861,118.4624,3.89,2.47285714285714,0.1,111650.6054802095,0.6495885138791068
2006-01,134372.84132977008,198.3,94.32256968048945,1.2126,115.4765,4.24,2.51168181818182,0.1036,110813.82263711866,0.6736036748210709
2006-02,134352.11661824118,198.7,91.80506458191707,1.194,117.8605,4.43,2.60035,0.11,112522.71073554538,0.6523700799160926
2006-03,136350.41119732396,199.8,96.64434624971673,1.2028,117.2778,4.51,2.72260869565217,0.1255,113360.83405164945,0.6851209103870255
2006-04,137440.87161017483,201.5,95.77515295717198,1.2273,117.0695,4.6,2.79377777777778,0.14,111986.36976303661,0.6665893282101241
2006-05,136361.64776673345,202.5,87.62366870609561,1.2767,111.7305,4.72,2.889,0.27,106807.90143865705,0.6142721590199518
2006-06,132673.92181751181,202.9,87.83809200090641,1.2661,114.625,4.79,2.98568181818182,0.35,104789.44934642747,0.6052510284824816
2006-07,133631.16893995594,203.5,87.56407205982325,1.2681,115.767,4.95,3.10219047619048,0.44,105379.0465578077,0.5964687127627657
2006-08,136695.61760240496,203.9,91.43870382959437,1.281,115.9243,4.96,3.22647826086957,0.432,106710.08399875485,0.6157528764758549
2006-09,140157.56788621732,202.9,91.36403806934058,1.2722,117.2145,4.81,3.3353809523809494,0.436,110169.44496637111,0.6126868447524465
2006-10,145227.848261053,201.8,92.90386358486289,1.2617,118.609,4.92,3.502,0.447,115104.89677502813,0.6208118926215119
2006-11,148137.09922734497,201.5,92.19538862451846,1.2888,117.3205,4.94,3.59718181818182,0.502,114941.8833235141,0.6097471326272937
2006-12,151321.78798920335,201.8,97.58571266711988,1.3205,117.322,4.85,3.6842105263157903,0.54,114594.31123756406,0.6298953099959823
2007-01,152371.99570285034,202.416,98.47847269431225,1.2993,120.4471,4.98,3.75186363636364,0.54,117272.37412672235,0.6292678128313174
2007-02,154805.7388543896,203.499,99.72875594833445,1.308,120.5047,5.03,3.8182,0.66,118353.01135656697,0.6327157883484589
2007-03,150977.8290915467,205.352,97.93592794017675,1.3246,117.26,4.94,3.8909090909090898,0.66,113979.94042846649,0.6305323916951321
2007-04,157291.12167948528,206.686,98.57472241105823,1.3513,118.9324,4.87,3.97526315789474,0.65,116399.85323724213,0.613357391347642
2007-05,162628.07813493264,207.949,101.26756174937684,1.3518,120.7732,4.73,4.07136363636364,0.67,120304.83661409428,0.6202793710623923
2007-06,163191.01761905994,208.352,102.75526852481305,1.3421,122.6886,4.61,4.147761904761911,0.73,121593.78408394303,0.6240437118377082
2007-07,164131.1702047308,208.299,97.71634942216178,1.3726,121.4148,4.82,4.21618181818182,0.77,119576.83972368555,0.5863428187291447
2007-08,157238.27122389292,207.917,93.86522773623385,1.3626,116.7335,4.2,4.5436086956521695,0.84,115395.76634661156,0.5901206967084017
2007-09,162075.37684150014,208.49,95.09228416043507,1.391,115.0435,3.89,4.7417,0.85,116517.16523472332,0.5942320387029738
2007-10,166926.33239179244,208.936,94.8200203942896,1.4233,115.8661,3.9,4.68739130434783,0.85,117281.20030337416,0.5749726752786612
2007-11,158905.59400127453,210.177,88.83225696804894,1.4683,111.0729,3.27,4.63854545454545,0.87,108224.20077727613,0.5446879738588838
2007-12,160875.4584232751,210.036,86.71980512123272,1.4559,112.449,3.0,4.848368421052631,0.86,110498.97549507185,0.5297014351078494
2008-01,150202.7762079156,211.08,77.00243598459097,1.4728,107.8181,2.75,4.48154545454545,0.85,101984.50312867707,0.48491879195817594
2008-02,147855.3812150669,211.693,77.06220258327669,1.4759,107.03,2.12,4.36209523809524,0.85,100179.80975341616,0.48784174404830416
